Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
arkansas little rock,SB,0.362,102.8,108,64.6,-0.048,0.3855,98.9,102.9,0.3794,0,2015
tulane,Amer,0.3598,97.7,102.7,63.4,0.031,0.4706,100.2,101.3,0.2772,1408,2015
sacred heart,NEC,0.353,102.1,107.6,69,-0.014,0.3529,99.3,104.7,0.4371,1357,2015
northern kentucky,ASun,0.3476,102.9,108.7,63.9,-0.059,0.3976,102.4,106.1,0.5766,1297,2015
idaho,BSky,0.3473,105,110.9,67.6,-0.07,0.3967,102.6,106.4,0.5469,1225,2015
southern illinois,MVC,0.3463,96.1,101.5,62.9,-0.054,0.4834,101.1,101.7,0.3014,1356,2015
western carolina,SC,0.3434,99,104.8,66.1,0.009,0.4313,102.1,104.6,0.6225,1441,2015
southeast missouri st.,OVC,0.3422,101,106.9,66.5,-0.062,0.4023,100.7,104.2,0.4195,0,2015
pacific,WCC,0.3407,100.5,106.4,61.9,0.052,0.5938,104.9,101.5,0.4525,1334,2015
bryant,NEC,0.3382,102.8,108.9,63.3,0.064,0.405,99.8,103.2,0.6015,1136,2015
texas st.,SB,0.3364,91.6,97.2,61.6,-0.033,0.4419,101,103.1,0.5634,1402,2015
unc asheville,BSth,0.3362,100.7,106.8,68.3,-0.024,0.3986,101.1,104.8,0.5405,1421,2015
north texas,CUSA,0.3351,97.5,103.5,65.9,0.046,0.4788,102.3,103.1,0.4619,1317,2015
boston university,Pat,0.3332,103.7,110.2,64.8,0.006,0.4409,101.7,103.8,0.5782,1131,2015
holy cross,Pat,0.333,100.1,106.3,63.9,0.03,0.4103,101.3,104.6,0.542,1221,2015
siu edwardsville,OVC,0.3284,96.1,102.3,66.8,-0.043,0.3851,100.9,105.1,0.3818,1188,2015
lamar,Slnd,0.3263,98.5,105,66.5,0.03,0.4196,102.1,105,0.6474,1249,2015
delaware st.,MEAC,0.3255,102.2,108.9,67.1,0.065,0.3922,99,102.9,0.6841,1175,2015
delaware,CAA,0.3245,100,106.5,65.9,0.023,0.4737,102.4,103.3,0.5452,1174,2015
drexel,CAA,0.3235,98.4,104.9,60.9,0.002,0.4611,101.7,103,0.5522,1180,2015
wright st.,Horz,0.3159,96.2,102.9,63.6,-0.029,0.5149,103.5,103,0.5368,1460,2015
hampton,MEAC,0.3127,95.6,102.3,69.5,0.022,0.3124,97.9,104.9,0.4887,1214,2015
howard,MEAC,0.3089,92.4,99.1,63.2,0.016,0.362,99.6,104.6,0.5783,1224,2015
tennessee tech,OVC,0.3082,102.3,109.7,66.7,-0.05,0.4188,100.7,103.6,0.4812,1399,2015
