Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
quinnipiac,MAAC,-5.84,102.7,108.5,68.7,-0.029,-4.39,99.6,104,-10.66,1346,2022
southeast missouri st.,OVC,-6.01,104.5,110.6,71.7,-0.036,-3.84,100.2,104,-3.15,0,2022
the citadel,SC,-6.14,101.3,107.4,70.4,0.011,-0.51,104.7,105.2,-5.38,1154,2022
umbc,AE,-6.15,104,110.1,68.2,0.044,-7.06,100,107.1,-2.52,1420,2022
texas a&m corpus chris,Slnd,-6.31,97,103.3,68.9,0.036,-10.92,98.8,109.7,-8.72,0,2022
montana,BSky,-6.44,100.5,106.9,65.2,0.026,-6.96,101,108,-5.95,1285,2022
new hampshire,AE,-6.49,103.1,109.6,62.2,-0.022,-8.21,98.8,107,-2.49,1306,2022
mount st. mary's,NEC,-6.53,96.2,102.8,63.2,-0.036,-7,99.6,106.6,0.67,1291,2022
high point,BSth,-6.56,98.4,105,66.4,-0.025,-3.99,100.7,104.7,3.84,1219,2022
siena,MAAC,-6.57,97.9,104.5,66.2,0.111,-3.54,100.9,104.4,-4.51,1373,2022
umass lowell,AE,-6.86,96.3,103.2,67.3,-0.063,-6.98,100.2,107.2,-2.06,1262,2022
south florida,Amer,-6.88,91,97.9,64.9,-0.015,4.17,104.5,100.3,-3.04,1378,2022
georgia southern,SB,-6.99,96.3,103.3,66,0.038,-1.3,101.3,102.6,-0.38,1204,2022
stony brook,AE,-7,104.1,111.1,68.1,0.099,-6.62,99.6,106.2,-1.47,1392,2022
elon,CAA,-7.34,99.8,107.2,65.7,-0.055,1.76,104.5,102.7,8.71,1189,2022
portland st.,BSky,-7.47,96,103.5,70.9,-0.015,-6.11,101.8,107.9,0.6,1340,2022
uc san diego,BW,-7.53,102,109.6,67.8,0.006,-3.46,99.8,103.3,-3.46,1471,2022
tennessee tech,OVC,-7.73,100.2,107.9,69.2,-0.086,-2.17,101,103.1,3.6,1399,2022
air force,MWC,-7.77,96,103.8,63.2,0.068,2.54,104.2,101.7,-8.36,1102,2022
miami oh,MAC,-7.85,103.9,111.7,67.6,-0.043,-4.36,101.3,105.7,-3.42,1275,2022
youngstown st.,Horz,-7.9,103,110.9,66.2,-0.001,-9.91,98.3,108.2,-6.76,1464,2022
eastern kentucky,ASun,-7.99,101.4,109.4,70.8,-0.12,-6,100.4,106.4,-5.5,1184,2022
new orleans,Slnd,-8,97.3,105.3,71.7,0.039,-9.05,100,109,-3.22,1309,2022
louisiana monroe,SB,-8,101.3,109.3,67.6,0.005,-1.5,101.2,102.7,2.12,0,2022
ball st.,MAC,-8.02,101.8,109.8,69.8,0.021,-4.76,101.3,106.1,-5.4,1123,2022
northeastern,CAA,-8.13,96.9,105.1,64.3,-0.064,-1.11,103.9,105,0.4,1318,2022
