School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
utah state,34,26,8,0.765,15.18,7.21,2671,2370,69.2,113.1,0.35,0.426,0.598,52.9,62.4,7.2,8.6,2023,1429
utah tech,33,14,19,0.424,0.12,1.28,2495,2420,70.8,105.9,0.437,0.416,0.573,51.5,52.4,9.3,6.4,2023,0
utah valley,33,25,8,0.758,7.23,0.87,2541,2251,71.9,105.8,0.366,0.338,0.558,52.3,59.1,9.1,16,2023,1430
utep,32,14,18,0.438,-0.91,1.65,2192,2192,68.3,97.7,0.394,0.302,0.52,51.7,48.4,12.8,7.9,2023,1431
utsa,32,10,22,0.313,-7.92,0.98,2217,2450,69.5,98.9,0.361,0.385,0.518,48.9,44.6,6.1,6.6,2023,1427
valparaiso,32,11,21,0.344,-8.38,-2.42,2206,2355,68.7,98.1,0.282,0.361,0.525,49.3,53.6,8.3,7,2023,1434
vanderbilt,35,21,14,0.6,9.49,8.83,2536,2513,67.1,107.2,0.328,0.423,0.534,49.8,46.7,7.4,11.9,2023,1435
vermont,33,23,10,0.697,1.7,-3.74,2410,2198,65.6,110,0.287,0.428,0.574,49.1,51.3,9,8.5,2023,1436
villanova,33,17,16,0.515,10.51,8.6,2307,2230,65,107.2,0.299,0.477,0.562,49.1,46.9,8.7,5.4,2023,1437
virginia,32,25,7,0.781,13.67,6.1,2170,1928,62.4,108.3,0.345,0.361,0.545,50,65.8,11,13.5,2023,1438
virginia commonwealth,34,27,7,0.794,10.15,1.62,2429,2139,68.4,104.4,0.418,0.328,0.557,50.3,53.1,13.1,12.7,2023,1433
vmi,32,7,25,0.219,-16.15,-3.46,2220,2457,67.5,101.9,0.211,0.458,0.525,51.1,45.6,7.9,3.9,2023,1440
virginia tech,33,19,14,0.576,9.57,5.11,2449,2302,66.7,110.8,0.264,0.396,0.568,49.9,56.9,7.9,8.5,2023,1439
wagner,28,15,13,0.536,-12.27,-11.31,1766,1727,63.5,98.5,0.248,0.358,0.486,53.7,51.8,10.5,5.8,2023,1447
wake forest,33,19,14,0.576,8.23,5.42,2528,2435,70.1,108.5,0.321,0.454,0.574,49.7,50.6,8.5,7.4,2023,1448
washington,32,16,16,0.5,7.17,8.33,2213,2250,69.2,98.4,0.317,0.366,0.528,47.1,46.8,9.8,13.1,2023,1449
washington state,34,17,17,0.5,10.82,8.2,2324,2235,64.8,105.1,0.282,0.434,0.534,52.1,49.6,7.5,7.3,2023,1450
weber state,33,18,15,0.545,-2.58,-0.97,2219,2229,65.7,100.5,0.335,0.375,0.554,49.7,45.1,9.1,4.6,2023,1451
