School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
southeast missouri state,29,5,24,0.172,-15.92,-3.29,1944,2252,71.5,93.4,0.358,0.3,0.486,48,51.2,10.5,4.3,0.454,16.8,28.6,0.229,2016,1369
southeastern louisiana,33,12,21,0.364,-13.36,-7.3,2344,2489,70.6,100.3,0.379,0.354,0.542,48.9,56.8,9,7.6,0.519,19.1,29.5,0.241,2016,1368
southern california,33,21,12,0.636,14.02,7.93,2668,2467,72.7,109.5,0.353,0.324,0.548,51.1,51.5,8.6,12.7,0.52,14.4,32.5,0.24,2016,1425
siu edwardsville,28,6,22,0.214,-10.63,-2.45,1839,2068,68,95.7,0.369,0.326,0.492,50.5,47.8,7.2,10.3,0.448,16.9,32.4,0.26,2016,1188
southern illinois,32,22,10,0.688,2.7,-1.4,2360,2229,69.9,104.7,0.393,0.338,0.544,52.2,44.8,10.3,5.8,0.511,17,31.7,0.269,2016,1356
southern methodist,30,25,5,0.833,18.67,4.81,2319,1903,66,117.1,0.338,0.268,0.578,57.4,61.5,9.2,13.5,0.553,15.7,41.2,0.237,2016,1374
southern mississippi,29,8,21,0.276,-10.47,-3.54,1866,2045,65,97.3,0.361,0.482,0.532,47.3,57.7,8.1,7.2,0.495,18.2,23.4,0.257,2016,1379
southern utah,30,6,24,0.2,-17.17,-4.03,2119,2429,70,100,0.361,0.343,0.538,45.9,48.2,8,7.5,0.502,16.8,23.6,0.256,2016,1381
southern,34,22,12,0.647,-7.2,-9.07,2479,2347,69.7,104.6,0.373,0.296,0.529,48.9,41.9,10.7,9.7,0.498,14.2,29,0.25,2016,1380
st. bonaventure,30,22,8,0.733,7.18,2.22,2334,2185,69.2,111.5,0.378,0.372,0.561,49.4,51.9,8.5,11.8,0.516,14.4,31.1,0.292,2016,1382
st. francis (ny),32,15,17,0.469,-10.95,-8.95,2095,2131,66.9,97.2,0.365,0.434,0.5,50.6,52.1,8.9,12,0.464,17.6,32.6,0.243,2016,1383
st. john's (ny),32,8,24,0.25,-2.06,7.78,2174,2472,73.2,92.8,0.383,0.34,0.493,47.5,54.6,8.6,14.3,0.461,18.3,27.7,0.244,2016,1385
stanford,30,15,15,0.5,8.49,10.84,2088,2111,67.3,102.6,0.449,0.325,0.521,49.4,49.7,10,9.2,0.478,15.2,30.9,0.307,2016,1390
stephen f. austin,32,27,5,0.844,8.45,-6.83,2583,2021,69.9,115.5,0.341,0.361,0.581,52.5,65.2,13,10.1,0.55,15.3,34.7,0.249,2016,1372
stetson,34,12,22,0.353,-10.77,-4.33,2729,2807,73.4,107,0.341,0.364,0.553,47.1,54,8.4,5.5,0.519,14.6,25.9,0.246,2016,1391
stony brook,32,26,6,0.813,4.24,-6.02,2458,2030,67.6,113.2,0.323,0.305,0.556,55.5,58.2,9.1,12.4,0.533,14.2,35.7,0.217,2016,1392
syracuse,32,19,13,0.594,13.57,9.07,2247,2103,65,106.7,0.355,0.433,0.536,48.9,58.1,12.3,11.7,0.505,15.7,33,0.242,2016,1393
temple,32,21,11,0.656,7.64,6.42,2197,2158,65.9,102.6,0.271,0.378,0.498,49,54.7,8,7.8,0.469,11.7,29,0.185,2016,1396
tennessee-martin,33,19,14,0.576,-5.73,-4.83,2398,2338,67.3,106.8,0.357,0.397,0.546,51.6,48,8.5,6.1,0.511,15.6,31,0.253,2016,1404
tennessee state,30,20,10,0.667,-1.6,-5.39,2200,2056,69.4,104.8,0.421,0.293,0.542,52.3,41,11,11.2,0.504,16.9,32.4,0.293,2016,1398
tennessee tech,30,19,11,0.633,-2.76,-3.8,2357,2265,70.5,111,0.446,0.422,0.579,49.8,56,7.4,9.8,0.536,15.7,28.2,0.331,2016,1399
tennessee,34,15,19,0.441,8.16,8.22,2554,2556,71,105.8,0.341,0.362,0.519,48.7,51.6,7.5,11.5,0.48,13.6,32.1,0.247,2016,1397
texas a&m-corpus christi,32,25,7,0.781,-2.39,-5.53,2356,2212,70.2,104.9,0.381,0.328,0.537,49.6,50.4,13.5,13.3,0.494,15.9,32.1,0.281,2016,1394
texas a&m,34,26,8,0.765,19.09,8.71,2581,2228,68.2,110.5,0.375,0.37,0.543,52.6,63.2,10.1,11,0.514,14.6,35,0.252,2016,1401
texas-arlington,33,23,10,0.697,5.71,-2.85,2627,2295,73,107.8,0.356,0.421,0.528,55,62.1,9.9,8.2,0.493,15.4,36.9,0.248,2016,1426
texas christian,33,12,21,0.364,4.68,9.23,2209,2359,70,95.7,0.456,0.308,0.502,48,52,9.2,10.9,0.457,18,29.3,0.306,2016,1395
texas-el paso,33,19,14,0.576,-3.65,-4.78,2554,2471,72.7,105.2,0.42,0.321,0.553,48,57.1,8.1,9.5,0.523,15.4,25.1,0.28,2016,1431
texas-rio grande valley,30,8,22,0.267,-17.62,-3.99,1993,2330,69.2,96,0.304,0.37,0.509,44.8,64.1,6.9,7,0.48,16.1,23.6,0.204,2016,1410
texas-san antonio,32,5,27,0.156,-16.23,-3.23,2317,2698,73.1,98.3,0.375,0.361,0.513,47.9,46,8.7,7,0.473,16.3,26.7,0.264,2016,1427
texas southern,32,18,14,0.563,-4.59,-7.31,2330,2243,68,107,0.421,0.359,0.543,53.7,55.7,6.6,7.3,0.519,16.7,35.4,0.265,2016,1411
texas state,31,15,16,0.484,-5.16,-4.09,2046,1993,65.1,100.5,0.389,0.271,0.51,50,50.3,9.3,9,0.474,15.7,30.8,0.262,2016,1402
texas tech,31,19,12,0.613,13.2,10.65,2244,2165,66.7,107.3,0.431,0.304,0.548,50.3,53.2,8.7,11.8,0.499,15.4,31.7,0.321,2016,1403
texas,32,20,12,0.625,15.76,12.48,2283,2178,66.9,105.8,0.397,0.36,0.525,49,46.5,7.6,11.5,0.493,13.4,30.7,0.264,2016,1400
toledo,32,17,15,0.531,3.1,-2.22,2482,2286,70.4,110.2,0.348,0.384,0.566,52.2,60.5,7.4,5.3,0.53,14.7,27.9,0.26,2016,1405
towson,32,20,12,0.625,0.61,-1.56,2286,2137,66.5,106.6,0.444,0.303,0.517,55.3,46.3,9.3,13.2,0.476,15.2,39.2,0.301,2016,1406
troy,31,9,22,0.29,-9.03,-1.89,2145,2329,70.1,97.9,0.392,0.371,0.498,48.5,47.2,8.4,7.4,0.465,15,29.2,0.252,2016,1407
tulane,34,12,22,0.353,-0.63,4.02,2240,2398,67.8,95,0.307,0.356,0.484,50,46.4,9.2,9.7,0.45,16.4,31.7,0.208,2016,1408
tulsa,31,20,11,0.645,10.07,5.75,2294,2160,68.9,106.5,0.399,0.366,0.538,48.7,53.4,9.8,7.5,0.504,13.6,27.9,0.271,2016,1409
ucla,32,15,17,0.469,10.87,10.08,2480,2455,71.6,107,0.323,0.273,0.533,51.6,54.9,7.5,8.8,0.503,14.5,32.8,0.223,2016,1417
utah state,31,16,15,0.516,2.62,2,2274,2217,68.2,107.6,0.336,0.391,0.551,50.8,56.6,8.1,7.1,0.523,15.4,29.7,0.232,2016,1429
utah valley,30,12,18,0.4,-9.35,-3.35,2280,2360,74.8,100.8,0.343,0.398,0.535,47.7,55.4,7.8,7.1,0.498,15.9,24.1,0.248,2016,1430
utah,34,26,8,0.765,16.55,9.06,2639,2351,67.7,113,0.387,0.376,0.587,53.1,57.3,7.8,10.2,0.557,15.7,30.1,0.276,2016,1428
valparaiso,32,26,6,0.813,10.24,-1.39,2425,1991,68.6,109.5,0.36,0.379,0.547,56.6,53.1,10,12.3,0.511,15.8,36.1,0.261,2016,1434
vanderbilt,32,19,13,0.594,18.25,8.85,2456,2155,69.1,110.2,0.395,0.381,0.566,50.9,56.8,6.2,12.9,0.535,14.7,27.4,0.276,2016,1435
vermont,34,21,13,0.618,-1.37,-4.59,2550,2397,68.8,108.9,0.367,0.322,0.578,51.9,50.3,8,11.1,0.55,17.1,28.6,0.259,2016,1436
villanova,34,29,5,0.853,21.64,8.38,2617,2166,67.7,113.3,0.343,0.438,0.581,51.4,60.7,9.9,9.7,0.543,14.5,28.6,0.267,2016,1437
virginia commonwealth,34,24,10,0.706,13.73,3.82,2625,2288,69.8,109.9,0.323,0.328,0.538,51.9,51,12.5,10,0.509,13.7,33.3,0.223,2016,1433
vmi,30,9,21,0.3,-12.58,-2.76,2081,2264,69.8,99,0.281,0.442,0.519,46.1,45.3,8.7,11.4,0.486,16.5,26,0.203,2016,1440
virginia tech,33,19,14,0.576,10.15,7.67,2461,2379,69.5,105.7,0.497,0.294,0.546,49.1,49.1,7.6,9.1,0.501,16,30,0.348,2016,1439
virginia,33,26,7,0.788,22.06,11.36,2322,1969,61.1,114.7,0.324,0.281,0.577,53,55.7,8.9,9.5,0.544,13.4,30.6,0.244,2016,1438
wagner,32,22,10,0.688,-4.46,-10.42,2256,2047,67.6,103.8,0.332,0.304,0.514,55.3,52.7,10.2,11.7,0.477,16.3,38,0.236,2016,1447
wake forest,31,11,20,0.355,5.78,10.78,2295,2450,71.9,102.1,0.432,0.343,0.528,50.9,54.7,8.2,10.6,0.494,17.4,32.7,0.285,2016,1448
washington state,31,9,22,0.29,0.93,8.4,2187,2394,70.3,98.8,0.313,0.301,0.541,48.6,52,7,10.3,0.51,17.8,24.2,0.223,2016,1450
washington,32,18,14,0.563,12.15,8.56,2668,2553,77.5,105.5,0.406,0.339,0.526,48.5,51.1,9.7,14.8,0.481,15,33.1,0.294,2016,1449
weber state,34,26,8,0.765,0.29,-5.77,2609,2273,68.7,110.1,0.443,0.418,0.59,53,52.8,7,7.9,0.563,17.1,26.5,0.301,2016,1451
west virginia,34,26,8,0.765,22.9,10.31,2693,2265,70.7,111.1,0.461,0.306,0.539,56,54.2,13.9,8.1,0.502,16.2,41.9,0.309,2016,1452
western carolina,33,16,17,0.485,-4.54,-1.14,2405,2411,70.1,102,0.383,0.367,0.529,50.3,49.9,11.2,9.4,0.491,17.4,32.2,0.269,2016,1441
western illinois,27,10,17,0.37,-5.97,-1.09,1904,1914,68.8,102.5,0.33,0.322,0.541,50.1,53.4,8.8,8.6,0.507,16,25.2,0.238,2016,1442
western kentucky,34,18,16,0.529,-1.22,-0.82,2620,2586,68.8,109.9,0.39,0.326,0.561,53.8,50.1,6.3,10.3,0.529,16.3,34.6,0.273,2016,1443
western michigan,32,13,19,0.406,-1.83,0.3,2342,2352,68.7,104.1,0.441,0.312,0.531,52,48.6,8.1,7.5,0.485,15.4,30.7,0.314,2016,1444
wichita state,32,24,8,0.75,16.61,2.9,2343,1896,66,110,0.385,0.385,0.537,53.3,57.4,10.8,11.9,0.497,12.8,32,0.275,2016,1455
william & mary,31,20,11,0.645,5.85,1.58,2384,2205,68.4,111.5,0.362,0.372,0.579,51.5,59.4,8,11.7,0.549,14,25.8,0.26,2016,1456
winthrop,32,23,9,0.719,-1.05,-5.32,2631,2429,72.9,112.7,0.404,0.411,0.59,49.1,42.5,7.5,12.7,0.552,15.5,26.8,0.303,2016,1457
wisconsin,32,20,12,0.625,13.49,9.17,2204,2066,64.2,106.5,0.397,0.338,0.53,52.3,49.4,9.1,8.5,0.49,14.6,33.7,0.281,2016,1458
wofford,32,15,17,0.469,-3.44,-2.04,2296,2295,66,107.4,0.374,0.384,0.565,50.2,61,7.6,4.7,0.525,15.8,26.7,0.281,2016,1459
wright state,35,22,13,0.629,0.21,-1.73,2399,2303,67.4,101.3,0.324,0.359,0.543,47.4,55.8,8.1,6.6,0.514,15.3,20.1,0.225,2016,1460
wyoming,32,14,18,0.438,0.09,2.19,2294,2302,66.8,106.1,0.459,0.527,0.579,45.6,54.4,6.1,7.3,0.541,15.5,17.5,0.329,2016,1461
xavier,32,27,5,0.844,18.73,8.42,2603,2273,72.8,111.8,0.429,0.347,0.558,54.9,59.8,10.1,8.7,0.515,15,35.7,0.314,2016,1462
yale,28,22,6,0.786,8.62,-2.35,2105,1768,67.1,111.6,0.416,0.307,0.557,57.9,57.1,8.6,12.7,0.528,16.7,39.3,0.276,2016,1463
youngstown state,32,11,21,0.344,-10.83,-0.83,2437,2682,74.1,100.7,0.306,0.348,0.526,44.7,53.7,9.1,6,0.494,14.4,23.1,0.218,2016,1464
abilene christian,29,13,16,0.448,-12.17,-7.41,2009,2073,68,100.1,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.53,18.5,23.4,0.232,2017,1101
air force,33,12,21,0.364,-2.99,1.07,2411,2477,69.1,104.6,0.381,0.388,0.544,50.3,60.5,8.5,5.7,0.506,15.2,26.4,0.273,2017,1102
akron,35,27,8,0.771,4.13,-1.28,2703,2465,67.8,113.9,0.366,0.482,0.584,51.2,54.9,8,8.5,0.561,14.9,29.7,0.25,2017,1103
alabama a&m,29,2,27,0.069,-26.9,-11.01,1794,2255,65.5,93.3,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.2,29.5,0.265,2017,1105
alabama-birmingham,33,17,16,0.515,-1.09,-1.75,2369,2316,67.7,105.2,0.373,0.322,0.556,52.4,60.2,7,13.2,0.518,17.3,30.3,0.274,2017,1412
alabama state,31,8,23,0.258,-19.71,-10.71,2042,2305,69.6,93.1,0.346,0.368,0.478,50.4,41.7,6.8,8,0.447,18.6,34.5,0.22,2017,1106
alabama,34,19,15,0.559,11.26,7.44,2330,2200,67.4,100.3,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255,2017,1104
albany (ny),35,21,14,0.6,-0.09,-4.62,2496,2301,65.3,109.2,0.333,0.266,0.555,55.5,49,7.8,5.6,0.517,15.6,33.6,0.252,2017,1107
alcorn state,32,18,14,0.563,-12.24,-10.86,2221,2175,69.2,99.9,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.5,32.5,0.214,2017,1108
american,30,8,22,0.267,-10.16,-3.36,1845,2049,65.2,94,0.307,0.343,0.522,46.6,49,10.6,6.9,0.503,18.3,21.7,0.19,2017,1110
appalachian state,30,9,21,0.3,-8.67,-1.6,2208,2279,72.4,101.2,0.378,0.417,0.525,50.7,55.3,7.7,7.6,0.491,16.5,28.2,0.258,2017,1111
arizona state,33,15,18,0.455,4.05,7.14,2593,2695,72.5,108,0.319,0.438,0.55,45.1,48.4,8.1,8.8,0.514,12.7,24.2,0.239,2017,1113
arizona *,36,32,4,0.889,18.41,7.43,2762,2367,67.4,113.8,0.412,0.301,0.581,55.1,51.3,8.1,9,0.538,14.6,32.8,0.315,2017,0
arkansas-little rock,32,15,17,0.469,-6.05,-3.78,2188,2185,66,102.7,0.333,0.342,0.54,50.6,48.9,8.6,11.7,0.502,16.9,28.8,0.246,2017,1114
arkansas-pine bluff,32,7,25,0.219,-22.71,-10.18,1977,2320,68.8,88.1,0.337,0.36,0.494,46.8,48.1,12.4,9.5,0.463,22.4,29.6,0.22,2017,1115
arkansas state,32,20,12,0.625,0.87,-2.1,2346,2211,68.9,106.1,0.415,0.323,0.547,52.1,48.1,7.8,7.3,0.522,16.2,31.4,0.265,2017,1117
arkansas *,36,26,10,0.722,14.06,8.62,2855,2659,71.7,110.6,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.5,0.29,2017,0
army,32,13,19,0.406,-5.76,-4.02,2324,2340,72,99.7,0.28,0.433,0.538,51.8,61.8,7.6,4.9,0.518,18.2,27,0.183,2017,1119
auburn,32,18,14,0.563,8.18,7.33,2573,2546,75.2,106.1,0.425,0.401,0.544,48.4,48.3,9.6,13.4,0.511,15.5,30.2,0.285,2017,1120
austin peay,30,11,19,0.367,-10.74,-2.06,2331,2515,71.8,106.9,0.405,0.373,0.569,44.9,40.2,7.8,6.3,0.535,15.4,24.4,0.286,2017,1122
ball state,34,21,13,0.618,-1.27,-3.39,2677,2567,72.7,106.7,0.346,0.418,0.571,51.2,56.9,8.1,8.8,0.54,17.5,28.2,0.248,2017,1123
baylor *,34,27,7,0.794,20.33,11.6,2500,2158,65.3,112.7,0.337,0.331,0.567,56.8,59,7.8,13.1,0.536,17,40.5,0.245,2017,0
belmont,30,23,7,0.767,4.46,-1.51,2302,2078,69,110.7,0.306,0.526,0.59,52.1,60.3,6.3,6.8,0.558,16.3,26.3,0.235,2017,1125
bethune-cookman,32,10,22,0.313,-19.32,-11.09,2275,2490,70.1,98.8,0.274,0.352,0.498,47,53.3,10.6,7.9,0.472,15.3,31.1,0.182,2017,1126
binghamton,32,12,20,0.375,-11.87,-5.66,2175,2270,67.4,100.4,0.316,0.39,0.538,48.6,53.4,7.7,6.9,0.508,16.4,23.4,0.223,2017,1127
boise state,31,20,11,0.645,5.9,2.5,2348,2207,70.5,107.4,0.416,0.401,0.56,51.4,47.9,7,6.1,0.523,15.8,28.3,0.297,2017,1129
boston college,32,9,23,0.281,2.28,8.15,2320,2508,72.5,100,0.296,0.364,0.541,50.2,56.1,7.7,7.2,0.516,17.9,25.7,0.201,2017,1130
boston university,32,18,14,0.563,-2.34,-3.57,2339,2264,70,102.8,0.336,0.419,0.547,50.1,55,11.6,7.7,0.517,17.7,28.1,0.234,2017,1131
bowling green state,32,13,19,0.406,-5.82,-1.82,2355,2453,72.7,100.1,0.361,0.329,0.514,48.8,46.9,9.4,7.1,0.481,15.1,28.1,0.241,2017,1132
bradley,33,13,20,0.394,-2.77,3.01,2163,2333,68.7,95,0.418,0.354,0.524,49.2,50.9,8.9,10.5,0.488,19.5,26,0.281,2017,1133
brigham young,34,22,12,0.647,8.23,1.88,2741,2525,75.6,106.7,0.422,0.325,0.555,53.5,57,8.7,11.7,0.511,16,29.1,0.31,2017,1140
brown,30,13,17,0.433,-8.48,-4.02,2275,2338,72.1,105.1,0.445,0.401,0.566,47.8,54.3,10.5,5.3,0.516,17.6,27.1,0.338,2017,1135
bryant,32,12,20,0.375,-9.62,-5.36,2373,2478,70,103.2,0.332,0.366,0.535,49.4,54.8,9.5,5.8,0.499,16.2,29.5,0.239,2017,1136
bucknell *,35,26,9,0.743,6.01,-2.36,2669,2376,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,2017,0
buffalo,32,17,15,0.531,1.11,-0.82,2486,2375,73.1,105.8,0.366,0.374,0.545,53.1,52.3,7.7,10.2,0.513,16.9,33.6,0.253,2017,1138
butler *,33,25,8,0.758,17.98,9.92,2515,2249,67.1,112.7,0.372,0.374,0.582,50.9,50.1,9,8.6,0.548,13.5,27.3,0.275,2017,0
cal poly,31,11,20,0.355,-10.75,-4.27,2082,2242,66.8,99.8,0.297,0.421,0.507,46.5,44.4,7.8,9.2,0.475,14,25.8,0.207,2017,1142
cal state bakersfield,32,23,9,0.719,2.6,-2.85,2280,2020,69.8,100.2,0.368,0.316,0.519,52.6,56.3,11.8,12.5,0.494,17.8,33.5,0.232,2017,1167
cal state fullerton,32,17,15,0.531,-7.49,-6.79,2351,2280,71.2,100.4,0.404,0.341,0.533,52.2,47.1,9.5,9.9,0.497,17.9,29.5,0.277,2017,1168
cal state northridge,30,11,19,0.367,-8.28,-4.06,2341,2440,74.6,104.6,0.459,0.238,0.55,49,51,9.2,7,0.503,15.8,27.9,0.334,2017,1169
uc-davis *,36,23,13,0.639,-5.17,-4.64,2525,2506,70.3,98.8,0.412,0.316,0.526,50.8,52.8,7.9,9,0.49,17.6,28.8,0.278,2017,0
uc-irvine,36,21,15,0.583,0.25,-2.63,2514,2331,67.2,103.2,0.296,0.356,0.534,54.5,50.3,7.2,11.4,0.508,17,32.4,0.203,2017,1414
uc-riverside,29,8,21,0.276,-11.35,-3.83,1895,2016,69.7,93.3,0.296,0.331,0.497,48.9,49.1,9.8,8.8,0.464,17.3,26.5,0.206,2017,1415
uc-santa barbara,28,6,22,0.214,-13.49,-2.01,1701,1987,66.2,91.3,0.29,0.322,0.453,49.5,54.3,7.9,6.8,0.423,15.4,31.4,0.184,2017,1364
university of california,34,21,13,0.618,11.07,6.3,2316,2154,66.3,101.3,0.377,0.347,0.514,54.7,50.7,7.2,12.1,0.481,16,32.9,0.249,2017,1143
campbell,35,18,17,0.514,-10.21,-7.93,2516,2470,68,105,0.375,0.396,0.57,49.3,47.4,9.7,11.3,0.53,17.1,24.2,0.282,2017,1144
canisius,34,18,16,0.529,-2.84,-3.52,2665,2642,71.5,108.9,0.309,0.403,0.562,48.3,63.7,9.4,4.9,0.531,15.9,30.2,0.227,2017,1145
central arkansas,32,8,24,0.25,-13.2,-3.92,2395,2692,72.2,102.4,0.36,0.321,0.535,48.8,55.6,7.6,7.4,0.498,16.6,28.7,0.258,2017,1146
central connecticut state,29,6,23,0.207,-17.42,-7.59,1827,2112,66.5,93.9,0.333,0.261,0.492,48.5,50.5,8.5,6.9,0.467,18.2,31.5,0.207,2017,1148
central florida,33,22,11,0.667,9.52,2.98,2230,2014,66.2,101.7,0.405,0.396,0.538,55.8,49,5.8,10.9,0.509,18.8,32.8,0.265,2017,1416
central michigan,32,16,16,0.5,-5.6,-2.47,2826,2807,77.8,112.2,0.354,0.518,0.562,47.7,39.7,7.2,6.6,0.516,12.6,27.7,0.28,2017,1141
charleston southern,31,12,19,0.387,-12.32,-6.25,2304,2343,69.7,105.3,0.344,0.358,0.53,50.1,41.4,8,8.4,0.502,14.1,29,0.229,2017,1149
charlotte,30,13,17,0.433,-5.14,-0.83,2295,2407,74.4,102.4,0.341,0.349,0.548,44.8,45.1,8.5,7.3,0.509,14.9,20.6,0.254,2017,1150
chattanooga,31,19,12,0.613,1.34,-1.84,2314,2132,68.2,108.9,0.394,0.388,0.567,49.1,47.1,11.3,12.4,0.533,16.8,30.6,0.28,2017,1151
chicago state,32,6,26,0.188,-16.7,-0.22,2089,2511,70.3,91.4,0.296,0.354,0.476,46.8,48.7,9.4,6.6,0.439,16.7,26.8,0.207,2017,1152
cincinnati *,36,30,6,0.833,18.5,5.55,2674,2208,65.2,113.2,0.325,0.361,0.547,53.3,57.5,11,13.9,0.52,13,35.5,0.223,2017,0
citadel,33,12,21,0.364,-12.62,-2.68,2964,3121,82.7,107.4,0.34,0.494,0.541,45.9,57.2,11.1,5.9,0.5,14.7,30,0.258,2017,1154
clemson,33,17,16,0.515,13.27,10.03,2468,2361,67.7,110,0.343,0.345,0.547,49.3,47.5,10.5,10.7,0.511,13.6,31.4,0.251,2017,1155
cleveland state,31,9,22,0.29,-6.61,-1.41,2083,2222,68.8,96.1,0.294,0.386,0.497,47,43.9,10.2,8.7,0.465,16.2,28.8,0.203,2017,1156
coastal carolina,34,17,17,0.5,-3.87,-1.59,2465,2472,70.3,102.4,0.291,0.413,0.519,52,46.9,7.8,8.4,0.495,15.8,30.9,0.19,2017,1157
colgate,32,10,22,0.313,-8.37,-3.5,2145,2273,66.4,99,0.335,0.432,0.547,49.7,55.6,7.6,7.7,0.52,19.3,24.9,0.227,2017,1159
college of charleston,35,25,10,0.714,4.11,-0.07,2416,2260,65.6,104.8,0.429,0.36,0.539,49.1,44.2,8.4,9.8,0.491,14,25.6,0.316,2017,1158
colorado state,35,24,11,0.686,6.69,2.17,2548,2366,68,107.1,0.392,0.364,0.534,51.8,45.6,9,9.9,0.489,13.6,31.4,0.288,2017,1161
colorado,34,19,15,0.559,9.15,6.03,2568,2455,69,108.7,0.386,0.36,0.544,52.1,53.4,7.3,11.9,0.508,14.8,32.7,0.272,2017,1160
columbia,27,11,16,0.407,-5.59,-3.05,1940,1964,69.5,102.5,0.29,0.364,0.532,48.4,59.7,10,9.3,0.502,15.9,27.9,0.205,2017,1162
connecticut,33,16,17,0.485,7.25,6.62,2220,2189,65.4,102.1,0.342,0.347,0.528,50.9,55.5,6.7,15.3,0.492,16,29.9,0.244,2017,1163
coppin state,32,8,24,0.25,-21.42,-7.92,2119,2521,70.6,93.1,0.404,0.384,0.482,46.3,47.5,8,6.4,0.443,16.7,28.4,0.262,2017,1164
cornell,29,8,21,0.276,-8.36,-1.51,2074,2238,71.3,99.8,0.294,0.437,0.553,48.7,55.9,7.2,6.7,0.527,18.3,22.5,0.205,2017,1165
creighton *,35,25,10,0.714,17.44,9.12,2864,2549,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.7,0.189,2017,0
dartmouth,27,7,20,0.259,-11.11,-3.4,1812,2020,68.2,97.9,0.338,0.386,0.534,50.5,47.7,6.7,4.7,0.499,19.1,27.8,0.24,2017,1171
davidson,32,17,15,0.531,6.61,4.42,2362,2292,69.5,105.4,0.315,0.46,0.552,49.6,61.3,7.3,8.5,0.516,15.4,25.1,0.238,2017,1172
dayton *,32,24,8,0.75,13.15,4.44,2428,2126,69.4,108.8,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.6,0.301,2017,0
delaware state,32,10,22,0.313,-18.7,-9.27,2186,2399,68.5,98.6,0.292,0.39,0.515,46.2,54.9,8,8.5,0.49,17.1,29.3,0.192,2017,1175
delaware,33,13,20,0.394,-9.88,-1.33,2157,2381,66.2,98.4,0.326,0.35,0.508,50.1,49.7,8,9.7,0.475,15.9,27.4,0.224,2017,1174
denver,30,16,14,0.533,-2.81,-4.01,2275,2239,69,109,0.346,0.33,0.58,53.1,55.7,7.2,6.1,0.548,17.1,28.8,0.254,2017,1176
depaul,32,9,23,0.281,2.2,7.89,2206,2388,69,99.5,0.356,0.313,0.523,49,47.2,9.6,8.8,0.481,17.6,29.9,0.262,2017,1177
detroit mercy,31,8,23,0.258,-10.61,-1.51,2387,2630,74.3,102.4,0.384,0.362,0.541,47.1,48,8.7,6.9,0.512,16.9,27.6,0.255,2017,1178
drake,31,7,24,0.226,-4.62,2,2208,2390,70,100.5,0.298,0.421,0.521,47.5,53.2,8.6,6.4,0.482,15.5,26.9,0.225,2017,1179
drexel,32,9,23,0.281,-7.36,-2.49,2397,2508,71.4,103.3,0.311,0.373,0.526,49.8,54.3,8.1,8.1,0.5,15.7,30.9,0.207,2017,1180
duke *,37,28,9,0.757,21.58,10.93,2991,2597,69.9,115.6,0.393,0.383,0.588,51.9,47.4,8.7,10.7,0.548,14.2,31.4,0.299,2017,0
duquesne,32,10,22,0.313,-2.86,0.9,2256,2376,71,99.3,0.371,0.369,0.523,49.4,51.1,6.9,10,0.489,17.5,29,0.251,2017,1182
east carolina,33,15,18,0.455,-0.45,1.37,2088,2148,66.7,94.8,0.374,0.372,0.494,50.4,55,7.6,13.2,0.458,17.9,30.7,0.246,2017,1187
east tennessee state *,35,27,8,0.771,7.59,-1.84,2782,2438,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18,31.3,0.304,2017,0
eastern illinois,29,14,15,0.483,-5.15,-4.86,2169,2083,70.5,102.9,0.271,0.376,0.519,49,57.5,9.4,10.7,0.487,15,30.2,0.198,2017,1183
eastern kentucky,31,12,19,0.387,-8.49,-2.28,2197,2330,69.7,99.7,0.374,0.419,0.533,46.8,56.3,8.4,10,0.495,17.3,26.1,0.264,2017,1184
eastern michigan,33,16,17,0.485,0,0.35,2566,2409,71.2,108.4,0.35,0.301,0.538,49.9,48.3,13.4,13.1,0.5,14.3,34.3,0.254,2017,1185
eastern washington,34,22,12,0.647,-2.65,-4.3,2695,2592,68.1,112.3,0.342,0.375,0.587,50.9,44.5,6.6,12.5,0.551,15.3,27.3,0.263,2017,1186
elon,32,18,14,0.563,0.28,-1.35,2403,2292,69.2,106.1,0.302,0.454,0.55,50.2,54.8,7.3,6.1,0.525,14.6,25,0.207,2017,1189
evansville,33,16,17,0.485,1.58,2.55,2288,2261,67,102.3,0.447,0.197,0.536,50.6,55.3,7.7,9.1,0.49,15.4,27.2,0.318,2017,1191
fairfield,31,16,15,0.516,-4.78,-3.88,2251,2279,71.7,100.4,0.272,0.421,0.536,48.5,56.4,7.4,7.3,0.513,16.6,24.2,0.186,2017,1193
